row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
B5001,2026-08-06,PB/PAY-25400,REFUND,AED,,,,402.71,4.03,398.68
B5002,2026-08-01,TXN-95371,PAYOUT,INR,,,,186.92,1.87,185.05
B5003,2026-08-09,PB/RMT-60462,SETTLEMENT,EUR,,,,47.95,0.48,47.47
B5004,2026-08-09,INV 83689,PAYOUT,GBP,,,,115.65,1.16,114.49
B5005,2026-08-02,PB/TXN-42168,SETTLEMENT,EUR,,,,902.01,9.02,892.99
B5006,2026-08-18,TXN-97079,CARD STL,AED,,,,355.30,3.55,351.75
B5007,2026-08-15,TXN-19183,BATCH ITEM,USD,,,,556.08,5.56,550.52
B5008,2026-08-19,INV-79653,PAYOUT,USD,,,,821.52,8.22,813.30
B5009,2026-08-13,pay-43872,BATCH ITEM,USD,,,,610.13,6.10,604.03
B5010,2026-08-08,rmt-18182,REFUND,USD,,,,687.74,6.88,680.86
B5011,2026-08-12,TXN 67759,CARD STL,GBP,,,,703.32,7.03,696.29
B5012,2026-08-18,TXN-91015,BATCH ITEM,INR,,,,583.53,5.84,577.69
