row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
A1001,2026-08-09,PAY-38858,Card settlement,GBP,1.0655,INR,2652.60,2826.35,28.26,2798.09
A1002,2026-08-14,INV-93216,Remittance payout,USD,,,,491.08,4.91,486.17
A1003,2026-08-02,PAY-65216,Refund,INR,,,,45.17,0.45,44.72
A1004,2026-08-09,RMT-39380,Card settlement,USD,,,,318.98,3.19,315.79
A1005,2026-08-11,TXN-99283,Card settlement,USD,1.1344,GBP,4108.42,4660.59,46.61,4613.98
A1006,2026-08-09,PAY-68813,Refund,EUR,,,,831.85,8.32,823.53
A1007,2026-08-12,PAY-87982,Merchant settlement,INR,,,,403.01,4.03,398.98
A1008,2026-08-11,PAY-42649,Remittance payout,EUR,,,,753.11,7.53,745.58
A1009,2026-08-14,PAY-11799,Payout batch item,GBP,1.0272,AED,4493.12,4615.33,46.15,4569.18
A1010,2026-08-03,TXN-87667,Remittance payout,EUR,,,,931.81,9.32,922.49
A1011,2026-08-01,TXN-82925,Merchant settlement,EUR,,,,438.33,4.38,433.95
A1012,2026-08-09,RMT-87867,Refund,EUR,,,,708.04,7.08,700.96
A1013,2026-08-14,TXN-72897,Card settlement,AED,1.0186,GBP,274.07,279.17,2.79,276.38
A1014,2026-08-13,INV-28968,Card settlement,GBP,,,,143.77,1.44,142.33
A1015,2026-08-07,TXN-53376,Merchant settlement,AED,,,,527.55,5.28,522.27
A1016,2026-08-08,PAY-35870,Payout batch item,INR,,,,925.53,9.26,916.27
