row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
B5001,2026-08-10,pay-38858,CARD STL,GBP,1.0655,INR,2652.60,2826.35,28.26,2798.09
B5002,2026-08-14,inv-93216,PAYOUT,USD,,,,491.08,4.91,486.17
B5003,2026-08-03,pay-65216,REFUND,INR,,,,45.17,0.45,44.72
B5004,2026-08-09,RMT 39380,CARD STL,USD,,,,318.98,3.19,315.79
B5005,2026-08-11,TXN-99283,CARD STL,USD,1.1344,GBP,4108.42,4660.59,46.61,4613.98
B5006,2026-08-10,PAY 68813,REFUND,EUR,,,,831.85,8.32,823.53
B5007,2026-08-13,PAY-87982,SETTLEMENT,INR,,,,403.01,4.03,398.98
B5008,2026-08-11,PB/PAY-42649,PAYOUT,EUR,,,,753.11,7.53,745.58
B5009,2026-08-15,PAY 11799,BATCH ITEM,GBP,1.0272,AED,4493.12,4615.33,46.15,4569.18
B5010,2026-08-03,TXN 87667,PAYOUT,EUR,,,,931.81,9.32,922.49
B5011,2026-08-02,TXN 82925,SETTLEMENT,EUR,,,,438.33,4.38,433.95
B5012,2026-08-10,RMT-87867,REFUND,EUR,,,,708.04,7.08,700.96
B5013,2026-08-15,TXN 72897,CARD STL,AED,1.0186,GBP,274.07,279.17,2.79,276.38
B5014,2026-08-13,INV 28968,CARD STL,GBP,,,,143.77,1.44,142.33
B5015,2026-08-08,PB/TXN-53376,SETTLEMENT,AED,,,,527.55,5.28,522.27
B5016,2026-08-08,pay-35870,BATCH ITEM,INR,,,,925.53,9.26,916.27
