row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
B5001,2026-08-10,INV-35760,SETTLEMENT,GBP,,,,619.02,6.19,612.83
B5002,2026-08-04,inv-82626,REFUND,AED,,,,860.22,8.60,851.62
B5003,2026-08-09,TXN-49143,SETTLEMENT,INR,,,,225.72,2.26,223.46
B5004,2026-08-03,TXN 60575,CARD STL,EUR,,,,205.25,2.05,203.20
B5005,2026-08-20,PB/INV-77043,SETTLEMENT,GBP,,,,904.23,9.04,895.19
B5006,2026-08-04,PB/PAY-81763,BATCH ITEM,GBP,,,,892.14,8.92,883.22
B5007,2026-08-10,INV-36627,REFUND,INR,,,,580.79,5.81,574.98
B5008,2026-08-20,PB/PAY-21581,BATCH ITEM,AED,,,,621.63,6.22,615.41
B5009,2026-08-04,rmt-69665,SETTLEMENT,EUR,,,,42.40,0.42,41.98
B5010,2026-08-16,INV-74530,SETTLEMENT,AED,,,,615.10,6.15,608.95
