row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
A1001,2026-08-16,INV-13864,Refund,EUR,,,,265.12,2.65,262.47
A1002,2026-08-07,TXN-48592,Refund,GBP,,,,942.32,9.42,932.90
A1003,2026-08-16,PAY-22356,Card settlement,EUR,,,,767.32,7.67,759.65
A1004,2026-08-12,TXN-71910,Card settlement,AED,,,,205.70,2.06,203.64
A1005,2026-08-02,RMT-48603,Remittance payout,INR,,,,73.57,0.74,72.83
A1006,2026-08-07,TXN-30368,Refund,EUR,,,,748.27,7.48,740.79
A1007,2026-08-02,INV-86696,Merchant settlement,GBP,,,,883.63,8.84,874.79
A1008,2026-08-10,PAY-36579,Card settlement,GBP,,,,646.63,6.47,640.16
A1009,2026-08-20,PAY-90422,Merchant settlement,USD,,,,83.83,0.84,82.99
A1010,2026-08-09,TXN-89087,Merchant settlement,USD,,,,682.92,6.83,676.09
