row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
B5001,2026-08-17,inv-13864,REFUND,EUR,,,,265.12,2.65,262.47
B5002,2026-08-08,TXN-48592,REFUND,GBP,,,,942.32,9.42,932.90
B5003,2026-08-16,PAY 22356,CARD STL,EUR,,,,767.32,7.67,759.65
B5004,2026-08-13,txn-71910,CARD STL,AED,,,,205.70,2.06,203.64
B5005,2026-08-03,RMT 48603,PAYOUT,INR,,,,73.57,0.74,72.83
B5006,2026-08-07,TXN-30368,REFUND,EUR,,,,748.27,7.48,740.79
B5007,2026-08-02,INV-86696,SETTLEMENT,GBP,,,,883.63,8.84,874.79
B5008,2026-08-11,PAY-36579,CARD STL,GBP,,,,646.63,6.47,640.16
B5009,2026-08-21,PAY-90422,SETTLEMENT,USD,,,,83.83,0.84,82.99
B5010,2026-08-09,PB/TXN-89087,SETTLEMENT,USD,,,,682.92,6.83,676.09
B5011,2026-08-19,rmt-89015,BATCH ITEM,INR,,,,589.77,5.90,583.87
B5012,2026-08-02,INV 11385,SETTLEMENT,GBP,,,,527.90,5.28,522.62
