row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
B5001,2026-08-18,TXN-23644,BATCH ITEM,INR,,,,585.59,5.86,579.73
B5002,2026-08-18,TXN-20651,SETTLEMENT,INR,,,,923.95,9.24,914.71
B5003,2026-08-18,RMT 23776,REFUND,EUR,,,,201.10,2.01,199.09
B5004,2026-08-21,RMT-73736,CARD STL,GBP,,,,797.77,7.98,789.79
B5005,2026-08-20,INV-14346,SETTLEMENT,GBP,,,,391.60,3.92,387.68
B5006,2026-08-16,INV-53116,SETTLEMENT,GBP,,,,844.56,8.45,836.11
B5007,2026-08-10,PAY 39039,PAYOUT,EUR,,,,729.54,7.30,722.24
B5008,2026-08-09,RMT 82602,CARD STL,EUR,,,,51.07,0.51,50.56
B5009,2026-08-13,inv-64830,CARD STL,EUR,,,,147.90,1.48,146.42
B5010,2026-08-10,txn-75747,SETTLEMENT,USD,,,,608.14,6.08,602.06
B5011,2026-08-03,txn-52724,BATCH ITEM,INR,,,,460.06,4.48,455.58
B5012,2026-08-08,PAY-29233,BATCH ITEM,INR,,,,546.01,5.50,540.51
