row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
B5001,2026-08-07,PB/INV-37320,REFUND,GBP,,,,158.15,1.58,156.57
B5002,2026-08-08,PB/PAY-57762,SETTLEMENT,EUR,,,,141.10,1.41,139.69
B5003,2026-08-11,TXN-66030,BATCH ITEM,GBP,,,,619.54,6.20,613.34
B5004,2026-08-08,PB/TXN-19898,PAYOUT,INR,,,,361.73,3.62,358.11
B5005,2026-08-06,PB/PAY-42305,BATCH ITEM,USD,,,,207.65,2.08,205.57
B5006,2026-08-01,PB/INV-14968,BATCH ITEM,GBP,,,,428.60,4.29,424.31
B5007,2026-08-18,txn-10895,PAYOUT,AED,,,,215.45,2.15,213.30
B5008,2026-08-18,TXN 15115,BATCH ITEM,USD,,,,428.51,4.29,424.22
B5009,2026-08-11,TXN 94066,BATCH ITEM,GBP,,,,316.71,3.17,313.54
B5010,2026-08-12,PB/RMT-28793,CARD STL,AED,,,,144.77,1.45,143.32
B5011,2026-08-17,PB/PAY-95086,CARD STL,USD,,,,554.98,6.15,548.83
B5012,2026-08-01,RMT-39198,CARD STL,USD,,,,662.58,7.88,654.70
