row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
B5001,2026-08-05,PB/INV-32079,CARD STL,AED,,,,520.77,5.21,515.56
B5002,2026-08-04,INV-83559,PAYOUT,INR,,,,686.57,6.87,679.70
B5003,2026-08-07,PB/TXN-85942,CARD STL,GBP,,,,691.63,6.92,684.71
B5004,2026-08-13,PB/PAY-89683,SETTLEMENT,EUR,,,,376.17,3.76,372.41
B5005,2026-08-19,PB/TXN-32870,REFUND,AED,,,,605.89,6.06,599.83
B5006,2026-08-10,RMT 57644,CARD STL,AED,,,,763.91,7.64,756.27
B5007,2026-08-01,TXN 26974,PAYOUT,INR,,,,841.95,8.42,833.53
B5008,2026-08-02,PB/TXN-81233,SETTLEMENT,GBP,,,,721.08,7.21,713.87
B5009,2026-08-06,PAY 98642,PAYOUT,AED,,,,776.69,7.77,768.92
B5010,2026-08-11,txn-39255,REFUND,USD,,,,477.61,4.78,472.83
B5011,2026-08-09,pay-27904,BATCH ITEM,GBP,,,,225.99,2.21,223.78
B5012,2026-08-08,PB/TXN-42819,SETTLEMENT,AED,,,,835.32,7.95,827.37
