row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
B5001,2026-08-16,PB/PAY-29974,SETTLEMENT,USD,1.1031,INR,4327.01,4773.12,47.73,4725.39
B5002,2026-08-04,RMT 63301,REFUND,INR,,,,47.21,0.47,46.74
B5003,2026-08-14,PB/RMT-10302,REFUND,GBP,,,,330.03,3.30,326.73
B5004,2026-08-10,PB/INV-76569,CARD STL,INR,1.1330,AED,3995.25,4526.62,45.27,4481.35
B5005,2026-08-11,PB/PAY-27772,BATCH ITEM,USD,,,,590.47,5.90,584.57
B5006,2026-08-07,RMT 22290,SETTLEMENT,EUR,,,,457.07,4.57,452.50
B5007,2026-08-03,txn-27339,CARD STL,GBP,0.9525,USD,2908.92,2770.75,27.71,2743.04
B5008,2026-08-02,PAY 45570,REFUND,AED,,,,806.05,8.06,797.99
B5010,2026-08-04,TXN 39340,SETTLEMENT,USD,1.0679,INR,4441.04,4742.58,47.43,4695.15
B5011,2026-08-02,TXN 89477,PAYOUT,AED,0.9408,INR,805.46,757.77,7.58,750.19
