row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
B5001,2026-08-20,PB/RMT-81030,CARD STL,EUR,,,,250.87,2.51,248.36
B5002,2026-08-20,PAY-16401,BATCH ITEM,GBP,,,,57.24,0.57,56.67
B5003,2026-08-17,TXN-33188,REFUND,INR,,,,183.40,1.83,181.57
B5004,2026-08-07,TXN 33387,SETTLEMENT,USD,,,,737.18,7.37,729.81
B5005,2026-08-19,TXN-55166,PAYOUT,EUR,,,,916.86,9.17,907.69
B5006,2026-08-16,PB/INV-99323,SETTLEMENT,AED,,,,871.91,8.72,863.19
B5007,2026-08-11,txn-87013,SETTLEMENT,INR,,,,826.24,8.26,817.98
B5008,2026-08-17,PB/PAY-57204,SETTLEMENT,INR,,,,993.30,9.93,983.37
B5009,2026-08-09,TXN 54740,CARD STL,AED,,,,404.83,4.05,400.78
B5010,2026-08-07,pay-44132,SETTLEMENT,EUR,,,,545.33,5.45,539.88
B5011,2026-08-21,PB/TXN-64221,BATCH ITEM,EUR,,,,353.56,3.54,350.02
B5012,2026-08-03,INV 15811,PAYOUT,EUR,,,,297.40,2.97,294.43
