row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
A1001,2026-08-16,RMT-44986,Payout batch item,INR,,,,402.99,4.03,398.96
A1002,2026-08-19,TXN-35609,Refund,AED,,,,698.17,6.98,691.19
A1003,2026-08-03,INV-39170,Card settlement,GBP,,,,911.97,9.12,902.85
A1004,2026-08-11,TXN-93089,Payout batch item,GBP,,,,150.44,1.50,148.94
A1005,2026-08-03,PAY-41805,Remittance payout,AED,,,,151.55,1.52,150.03
A1006,2026-08-11,PAY-99255,Remittance payout,AED,,,,983.07,9.83,973.24
A1007,2026-08-01,PAY-84186,Refund,EUR,,,,350.51,3.51,347.00
A1008,2026-08-14,INV-49117,Payout batch item,EUR,,,,671.34,6.71,664.63
A1009,2026-08-20,RMT-68226,Payout batch item,AED,,,,219.95,2.20,217.75
A1010,2026-08-03,PAY-17957,Refund,GBP,,,,223.14,2.23,220.91
A1011,2026-08-19,PAY-46129,Refund,EUR,,,,358.04,3.58,354.46
A1012,2026-08-19,PAY-27777,Merchant settlement,USD,,,,624.08,6.24,617.84
