row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
B5001,2026-08-16,RMT 44986,BATCH ITEM,INR,,,,402.99,4.03,398.96
B5002,2026-08-20,TXN 35609,REFUND,AED,,,,698.17,6.98,691.19
B5003,2026-08-04,INV-39170,CARD STL,GBP,,,,911.97,9.12,902.85
B5004,2026-08-12,TXN 93089,BATCH ITEM,GBP,,,,150.44,1.50,148.94
B5005,2026-08-04,pay-41805,PAYOUT,AED,,,,151.55,1.52,150.03
B5006,2026-08-12,PAY-99255,PAYOUT,AED,,,,983.07,9.83,973.24
B5007,2026-08-02,PAY-84186,REFUND,EUR,,,,350.51,3.51,347.00
B5008,2026-08-14,inv-49117,BATCH ITEM,EUR,,,,671.34,6.71,664.63
B5009,2026-08-20,rmt-68226,BATCH ITEM,AED,,,,219.95,2.20,217.75
B5010,2026-08-03,PAY-17957,REFUND,GBP,,,,223.14,2.23,220.91
B5011,2026-08-19,PAY 46129,REFUND,EUR,,,,358.04,3.58,354.46
B5011D,2026-08-19,PAY 46129,REFUND,EUR,,,,358.04,3.58,354.46
B5012,2026-08-20,PAY-27777,SETTLEMENT,USD,,,,624.08,6.24,617.84
B5012D,2026-08-20,PAY-27777,SETTLEMENT,USD,,,,624.08,6.24,617.84
