row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
B5001,2026-08-14,pay-66181,PAYOUT,USD,,,,401.75,4.02,397.73
B5002,2026-08-09,RMT 81505,BATCH ITEM,INR,,,,552.62,5.53,547.09
B5003,2026-08-15,txn-39343,SETTLEMENT,EUR,,,,420.71,4.21,416.50
B5004,2026-08-15,PB/PAY-73446,CARD STL,INR,,,,409.14,4.09,405.05
B5005,2026-08-20,PAY 16630,PAYOUT,AED,,,,360.88,3.61,357.27
B5006,2026-08-18,TXN-61439,SETTLEMENT,INR,,,,430.74,4.31,426.43
B5007,2026-08-13,PAY 21627,BATCH ITEM,INR,,,,317.56,3.18,314.38
B5008,2026-08-20,PB/PAY-92871,SETTLEMENT,AED,,,,531.30,5.31,525.99
B5009,2026-08-16,REF ILLEGIBLE,PAYOUT,USD,,,,336.82,3.37,333.45
B5010,2026-08-16,REF MISSING,PAYOUT,USD,,,,336.82,3.37,333.45
