row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
B5001,2026-08-02,PAY-15751,CARD STL,GBP,,,,659.95,6.60,653.35
B5002,2026-08-20,INV-22524,CARD STL,USD,,,,243.46,2.43,241.03
B5003,2026-08-19,PAY 18091,BATCH ITEM,INR,,,,658.12,6.58,651.54
B5004,2026-08-12,inv-77631,REFUND,GBP,,,,701.18,7.01,694.17
B5005,2026-08-06,TXN-92255,CARD STL,USD,,,,755.03,7.55,747.48
B5006,2026-08-06,TXN 78275,SETTLEMENT,AED,,,,122.66,1.23,121.43
B5007,2026-08-12,PB/RMT-53503,SETTLEMENT,EUR,,,,681.90,6.82,675.08
B5008,2026-08-13,PB/INV-12100,SETTLEMENT,GBP,,,,123.80,1.24,122.56
B5009,2026-08-03,RMT 12151,REFUND,AED,,,,480.42,4.80,475.62
B5010,2026-08-20,PB/INV-51509,CARD STL,AED,,,,457.17,4.57,452.60
B5011,2026-08-11,rmt 70001,PAYOUT,USD,1.0857,EUR,1234.50,1340.29,3.35,1336.94
