row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
B5001,2026-08-10,INV 71564,CARD STL,AED,,,,938.12,9.38,928.74
B5002,2026-08-02,rmt-78507,BATCH ITEM,USD,,,,537.28,5.37,531.91
B5003,2026-08-08,PB/TXN-71752,CARD STL,AED,,,,761.38,7.61,753.77
B5004,2026-08-15,TXN-73130,SETTLEMENT,USD,,,,509.19,5.09,504.10
B5005,2026-08-08,PB/RMT-81437,CARD STL,AED,,,,210.71,2.11,208.60
B5006,2026-08-11,PB/RMT-59692,REFUND,GBP,,,,27.98,0.28,27.70
B5007,2026-08-10,PB/TXN-68678,PAYOUT,EUR,,,,140.64,1.41,139.23
B5008,2026-08-02,PB/RMT-71630,SETTLEMENT,USD,,,,357.49,3.57,353.92
B5009,2026-08-09,PAY 90529,SETTLEMENT,GBP,,,,667.99,6.68,661.31
B5010,2026-08-04,INV 71933,BATCH ITEM,USD,,,,782.17,7.82,774.35
B5011,2026-08-11,rmt 70001,PAYOUT,USD,1.0857,EUR,1234.50,1340.29,3.10,1337.19
B5012,2026-08-12,inv 70055,SETTLEMENT,USD,,,,177.51,1.90,175.61
B5012D,2026-08-13,PB/INV-70055,SETTLEMENT,USD,,,,177.51,1.90,175.61
