row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
B5001,2026-08-20,TXN 89325,SETTLEMENT,USD,,,,495.74,4.96,490.78
B5002,2026-08-18,PB/INV-96277,BATCH ITEM,USD,,,,746.18,7.46,738.72
B5003,2026-08-19,rmt-92602,BATCH ITEM,USD,,,,812.82,8.13,804.69
B5004,2026-08-18,pay-34967,BATCH ITEM,GBP,,,,622.67,6.23,616.44
B5005,2026-08-11,pay-82031,CARD STL,USD,,,,153.42,1.53,151.89
B5006,2026-08-16,INV 99338,SETTLEMENT,EUR,,,,146.36,1.46,144.90
B5007,2026-08-02,PB/PAY-43322,SETTLEMENT,INR,,,,77.97,0.78,77.19
B5008,2026-08-13,inv-43697,REFUND,AED,,,,103.44,1.03,102.41
B5009,2026-08-10,pay-78438,PAYOUT,USD,,,,621.49,6.21,615.28
B5010,2026-08-06,RMT-72876,BATCH ITEM,INR,,,,724.44,7.24,717.20
B5011,2026-08-11,PB/PAY-42175,CARD STL,AED,,,,952.88,9.52,943.36
B5012,2026-08-07,INV-72961,REFUND,GBP,,,,194.70,1.95,192.75
